"rules","support","confidence","lift"
"{1756-L61,1784-CF128} => {1756-A7}",0.0107889413351315,0.888888888888889,28.6570048309179
"{1756-A7,1784-CF128} => {1756-L61}",0.0107889413351315,1,61.7916666666667
"{1756-L61,1784-CF128} => {1756-PA72}",0.0114632501685772,0.944444444444444,25.0109126984127
"{1756-PA72,1784-CF128} => {1756-L61}",0.0114632501685772,1,61.7916666666667
"{1756-L61,1756-PA72} => {1784-CF128}",0.0114632501685772,0.80952380952381,44.4638447971781
"{1756-L61,1784-CF128} => {1756-N2}",0.0114632501685772,0.944444444444444,19.726917057903
"{1756-N2,1784-CF128} => {1756-L61}",0.0114632501685772,1,61.7916666666667
"{1756-L61,1756-N2} => {1784-CF128}",0.0114632501685772,0.80952380952381,44.4638447971781
"{1756-CNBR,1784-CF128} => {1756-A7}",0.0107889413351315,0.941176470588235,30.3427109974425
"{1756-A7,1784-CF128} => {1756-CNBR}",0.0107889413351315,1,41.1944444444444
"{1756-CNBR,1784-CF128} => {1756-PA72}",0.0114632501685772,1,26.4821428571429
"{1756-PA72,1784-CF128} => {1756-CNBR}",0.0114632501685772,1,41.1944444444444
"{1756-CNBR,1784-CF128} => {1756-N2}",0.0107889413351315,0.941176470588235,19.6586578293289
"{1756-N2,1784-CF128} => {1756-CNBR}",0.0107889413351315,0.941176470588235,38.7712418300654
"{1756-A7,1784-CF128} => {1756-PA72}",0.0107889413351315,1,26.4821428571429
"{1756-PA72,1784-CF128} => {1756-A7}",0.0107889413351315,0.941176470588235,30.3427109974425
"{1756-A7,1784-CF128} => {1756-N2}",0.0101146325016858,0.9375,19.5818661971831
"{1756-N2,1784-CF128} => {1756-A7}",0.0101146325016858,0.882352941176471,28.4462915601023
"{1756-PA72,1784-CF128} => {1756-N2}",0.0107889413351315,0.941176470588235,19.6586578293289
"{1756-N2,1784-CF128} => {1756-PA72}",0.0107889413351315,0.941176470588235,24.9243697478992
"{1794-OB32P,1794-TB32} => {1794-IB32}",0.0121375590020229,0.818181818181818,32.7936117936118
"{1794-IB32,1794-OB32P} => {1794-TB32}",0.0121375590020229,0.947368421052632,39.0263157894737
"{1756-ENBT,1756-L61} => {1756-CNBR}",0.0114632501685772,1,41.1944444444444
"{1756-CNBR,1756-L61} => {1756-ENBT}",0.0114632501685772,0.80952380952381,33.3478835978836
"{1756-CNBR,1756-ENBT} => {1756-L61}",0.0114632501685772,0.894736842105263,55.2872807017544
"{1756-ENBT,1756-L61} => {1786-TPS}",0.0101146325016858,0.882352941176471,34.4349845201238
"{1756-L61,1786-TPS} => {1756-ENBT}",0.0101146325016858,0.9375,38.6197916666667
"{1756-ENBT,1786-TPS} => {1756-L61}",0.0101146325016858,0.882352941176471,54.5220588235294
"{1756-ENBT,1756-L61} => {1756-A7}",0.0107889413351315,0.941176470588235,30.3427109974425
"{1756-A7,1756-ENBT} => {1756-L61}",0.0107889413351315,0.941176470588235,58.156862745098
"{1756-ENBT,1756-L61} => {1756-PA72}",0.0114632501685772,1,26.4821428571429
"{1756-L61,1756-PA72} => {1756-ENBT}",0.0114632501685772,0.80952380952381,33.3478835978836
"{1756-ENBT,1756-L61} => {1756-N2}",0.0101146325016858,0.882352941176471,18.4299917149959
"{1756-L61,1786-TPS} => {1756-CNBR}",0.0107889413351315,1,41.1944444444444
"{1756-CNBR,1756-L61} => {1756-A7}",0.0134861766689144,0.952380952380952,30.703933747412
"{1756-A7,1756-L61} => {1756-CNBR}",0.0134861766689144,0.952380952380952,39.2328042328042
"{1756-CNBR,1756-L61} => {1756-PA72}",0.0141604855023601,1,26.4821428571429
"{1756-L61,1756-PA72} => {1756-CNBR}",0.0141604855023601,1,41.1944444444444
"{1756-CNBR,1756-L61} => {1756-N2}",0.0128118678354686,0.904761904761905,18.8980549966465
"{1756-L61,1756-N2} => {1756-CNBR}",0.0128118678354686,0.904761904761905,37.271164021164
"{1756-L61,1786-TPS} => {1756-A7}",0.0101146325016858,0.9375,30.2241847826087
"{1756-L61,1786-TPS} => {1756-PA72}",0.0107889413351315,1,26.4821428571429
"{1756-L61,1786-TPS} => {1756-N2}",0.0107889413351315,1,20.887323943662
"{1756-A7,1756-L61} => {1756-PA72}",0.0134861766689144,0.952380952380952,25.2210884353741
"{1756-L61,1756-PA72} => {1756-A7}",0.0134861766689144,0.952380952380952,30.703933747412
"{1756-A7,1756-L61} => {1756-N2}",0.0128118678354686,0.904761904761905,18.8980549966465
"{1756-L61,1756-N2} => {1756-A7}",0.0128118678354686,0.904761904761905,29.1687370600414
"{1756-L61,1756-PA72} => {1756-N2}",0.0128118678354686,0.904761904761905,18.8980549966465
"{1756-L61,1756-N2} => {1756-PA72}",0.0128118678354686,0.904761904761905,23.9600340136054
"{1762-IF2OF2,1762-IF4} => {1766-L32BWA}",0.0101146325016858,0.9375,34.7578125
"{1762-IF2OF2,1766-L32BWA} => {1762-IF4}",0.0101146325016858,0.9375,33.9100609756098
"{1756-ENBT,1786-TPS} => {1756-CNBR}",0.0101146325016858,0.882352941176471,36.3480392156863
"{1756-CNBR,1756-ENBT} => {1756-A7}",0.0114632501685772,0.894736842105263,28.8455377574371
"{1756-A7,1756-ENBT} => {1756-CNBR}",0.0114632501685772,1,41.1944444444444
"{1756-CNBR,1756-ENBT} => {1756-PA72}",0.0128118678354686,1,26.4821428571429
"{1756-ENBT,1756-PA72} => {1756-CNBR}",0.0128118678354686,0.863636363636364,35.5770202020202
"{1756-CNBR,1756-ENBT} => {1756-N2}",0.0107889413351315,0.842105263157895,17.5893254262417
"{1756-ENBT,1756-N2} => {1756-CNBR}",0.0107889413351315,0.8,32.9555555555556
"{1756-ENBT,1786-TPS} => {1756-PA72}",0.0107889413351315,0.941176470588235,24.9243697478992
"{1756-ENBT,1786-TPS} => {1756-N2}",0.0101146325016858,0.882352941176471,18.4299917149959
"{1756-A7,1756-ENBT} => {1756-PA72}",0.0114632501685772,1,26.4821428571429
"{1756-ENBT,1756-N2} => {1756-PA72}",0.0107889413351315,0.8,21.1857142857143
"{1756-IB16,1756-OB16E} => {1756-IF8}",0.0101146325016858,0.9375,49.6540178571429
"{1756-IF8,1756-OB16E} => {1756-IB16}",0.0101146325016858,0.9375,69.515625
"{1756-IB16,1756-IF8} => {1756-OB16E}",0.0101146325016858,0.882352941176471,65.4264705882353
"{1756-IF8,1756-OB16E} => {1756-N2}",0.0101146325016858,0.9375,19.5818661971831
"{1756-N2,1756-OB16E} => {1756-IF8}",0.0101146325016858,0.9375,49.6540178571429
"{1756-IB16,1756-IF8} => {1756-TBCH}",0.0101146325016858,0.882352941176471,25.6574394463668
"{1756-IB16,1756-TBCH} => {1756-IF8}",0.0101146325016858,1,52.9642857142857
"{1756-IB16,1756-IF8} => {1756-N2}",0.0107889413351315,0.941176470588235,19.6586578293289
"{1756-IB16,1756-N2} => {1756-IF8}",0.0107889413351315,0.941176470588235,49.8487394957983
"{1756-IF8,1756-N2} => {1756-IB16}",0.0107889413351315,0.842105263157895,62.4421052631579
"{1756-IB16,1756-TBCH} => {1756-N2}",0.0101146325016858,1,20.887323943662
"{1756-IB16,1756-N2} => {1756-TBCH}",0.0101146325016858,0.882352941176471,25.6574394463668
"{1762-IF4,1762-OF4} => {1766-L32BWA}",0.0128118678354686,0.863636363636364,32.0193181818182
"{1762-OF4,1766-L32BWA} => {1762-IF4}",0.0128118678354686,1,36.1707317073171
"{1762-IQ16,1762-OF4} => {1762-IF4}",0.0107889413351315,0.941176470588235,34.0430416068867
"{1762-IF4,1762-IQ16} => {1762-OF4}",0.0107889413351315,0.8,45.6307692307692
"{1762-IF4,1762-IQ16} => {1766-L32BWA}",0.0107889413351315,0.8,29.66
"{1756-IF8,1756-TBNH} => {1756-TBCH}",0.0114632501685772,1,29.078431372549
"{1756-IF8,1756-TBCH} => {1756-TBNH}",0.0114632501685772,0.80952380952381,50.0218253968254
"{1756-A4,1756-IF8} => {1756-PA72}",0.0101146325016858,1,26.4821428571429
"{1756-IF8,1756-PA72} => {1756-A4}",0.0101146325016858,0.882352941176471,31.1554621848739
